Yr,Seas,FltSvy,Gender,Part,Nsamp,l5,l10,l15,l20,l25,l30,l35,l40,l45,l50,l55,l60,l65,l70,l75,l80,l85
2017,1,2,0,0,15,0,0,0,0,8,4,8,4,2,4,4,3,2,0,0,0,0
2018,1,2,0,0,39,0,17,5,10,2,3,6,12,14,19,19,13,7,1,1,0,0
2019,1,2,0,0,36,0,1,17,10,2,7,2,7,6,14,13,11,5,1,0,0,0
2020,1,2,0,0,41,12,52,7,5,20,33,8,11,13,35,26,21,10,3,2,0,0
2021,1,2,0,0,11,0,0,2,1,1,0,2,14,16,0,0,5,4,2,0,0,0
2022,1,2,0,0,31,0,0,6,16,8,7,11,19,15,11,15,14,5,2,1,0,0
2023,1,2,0,0,58,10,29,42,25,19,12,43,30,25,24,22,19,12,6,1,1,1
2017,1,4,0,0,39,0,1,10,15,14,23,21,60,14,3,5,6,2,3,2,0,0
2018,1,4,0,0,32,0,0,6,17,4,2,16,25,19,15,12,7,0,0,0,0,0
2019,1,4,0,0,14,0,0,0,0,3,1,5,5,4,0,1,1,0,1,1,0,0
2020,1,4,0,0,17,0,0,0,5,2,5,6,4,5,8,2,2,0,0,0,0,0
2021,1,4,0,0,23,0,0,2,12,5,5,21,13,4,0,5,4,0,0,0,0,0
2022,1,4,0,0,56,0,1,2,20,22,43,21,13,11,7,2,7,3,1,0,0,0
2023,1,4,0,0,20,0,0,4,15,37,18,14,5,4,1,0,0,1,0,0,0,0
